"classe","codigo","vm","gc","lc","roe","divbr_pl","ll","ll_cresc","p_vpa","pl","ret_anual"
"ON","USIM3",10808368.2096333,TRUE,3.0955635587,1.59206705745,40.989984634,FALSE,TRUE,0.903588286366667,48.5571357566667,2.18685279809425
"ON","TRPL3",10165629.2420667,FALSE,3.06899007753333,11.2712145655,20.432445349,TRUE,FALSE,0.911670310036667,5.9234001216,9.08961674979487
"ON","CMIG3",9907511.18366667,TRUE,0.87719628759,6.6454255714,99.9810608195,TRUE,FALSE,0.683745618456667,15.9682476239333,-5.82024974362929
"ON","ENGI3",9712213.34033333,FALSE,1.26813041913333,13.0372262405,216.643740565,TRUE,FALSE,3.299062703,30.8118008106667,34.0059767087375
"ON","BRML3",8799825.67,TRUE,2.12606824873333,-6.55849043855,29.883604891,FALSE,FALSE,0.890033512196667,3.803584485,-4.7734778289086
"ON","BTOW3",8402781.22136667,TRUE,1.91641816103333,-9.97571762385,173.88265673,FALSE,FALSE,2.29338128876667,-20.7740584162,17.1913786924894
"ON","ENBR3",8300590.95333333,TRUE,1.20260811416667,8.4150939157,66.563368241,TRUE,FALSE,1.0606341375,11.794702848,9.83375708041205
"ON","BRAP3",8164542.99333333,TRUE,3.00534974985,19.6601742035,17.5697433185,FALSE,TRUE,0.868574715046667,6.33310296093333,12.4251971455366
"ON","FLRY3",7800175.8149,TRUE,2.20353268626667,19.285839124,71.464746781,TRUE,TRUE,4.7090926535,26.241199257,28.3018805957943
"ON","VVAR3",7777696.73333333,FALSE,0.861582215823333,7.3547128827,137.660172485,FALSE,FALSE,2.65483725633333,12.8827405926667,NA
"ON","REDE3",7713962.86,FALSE,1.21861296863333,4.6491240976,125.33005465,TRUE,FALSE,2.50894684863333,44.1291117926667,49.5479269337508
"ON","ESTC3",7402507.80266667,TRUE,1.82499710506667,16.8509631085,17.0918519165,TRUE,FALSE,2.6580799077,16.582134339,10.140130434676
"ON","DASA3",7373048.25953333,TRUE,1.3446601903,4.62877273215,58.3439708525,TRUE,TRUE,2.27115618946667,56.2927137046667,18.3705600904768
"ON","SULA3",7366329.4848,FALSE,1.9379846812,14.0718860515,26.5046013175,TRUE,FALSE,1.5448207821,10.94316433035,NA
"ON","ODPV3",7309355.1083,TRUE,1.67843816016667,43.456092669,0,TRUE,FALSE,8.557335908,22.8990790706667,10.9889970944843
"ON","SMLS3",7290426.51666667,TRUE,1.6002424732,90.6251729085,0,TRUE,TRUE,9.4677888538,10.6303863467667,26.9969185484807
"ON","TAEE3",7255861.4,FALSE,2.622354179,17.1069532705,70.2897245025,TRUE,FALSE,1.7284891549,10.2512547461,NA
